City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Hilo,US,19.7297,-155.09,76.28,99,100,1.01,very heavy rain
290,Shenjiamen,CN,29.9576,122.298,53.96,69,64,9.15,broken clouds
291,Ilulissat,GL,69.2167,-51.1,17.62,62,75,9.22,light snow
292,Ocean City,US,39.2776,-74.5746,77.29,70,32,14.0,scattered clouds
293,Port Hedland,AU,-20.3167,118.5667,75.25,64,13,0.0,few clouds
294,Agde,FR,43.3108,3.4758,70.95,45,0,8.05,clear sky
295,Cangzhou,CN,38.3167,116.8667,49.59,31,27,8.48,scattered clouds
296,Rathdrum,US,47.8137,-116.892,47.46,41,0,10.36,clear sky
297,Evora,PT,38.5667,-7.9,63.81,65,17,8.25,few clouds
298,Agadez,NE,19.75,10.25,85.26,10,95,14.36,overcast clouds
299,Clyde River,CA,70.4692,-68.5914,-3.77,77,100,3.44,haze
300,Ginir,ET,7.1333,40.7,58.82,88,100,9.35,moderate rain
301,Senneterre,CA,48.3835,-77.2328,33.12,61,100,6.85,overcast clouds
302,Sajanan,TN,37.0573,9.2426,58.12,94,40,15.19,scattered clouds
303,Samagaltay,RU,50.6022,95.0047,35.83,48,6,2.42,clear sky
304,Gazanjyk,TM,39.2446,55.5154,57.85,80,100,5.75,light rain
305,Svetlogorsk,BY,52.6333,29.7333,36.79,96,99,13.2,light rain
306,Porto Santo,PT,33.072,-16.3415,66.58,63,20,17.27,few clouds
307,Constitucion,CL,-35.3333,-72.4167,62.73,62,1,9.15,clear sky
308,Pangody,RU,65.85,74.4859,13.51,93,100,15.43,overcast clouds
309,Moron,AR,-34.6534,-58.6198,72.95,62,30,5.82,scattered clouds
310,Airai,TL,-8.9266,125.4092,59.32,93,62,2.62,broken clouds
311,Dakoro,NE,14.5106,6.765,90.86,8,97,13.42,overcast clouds
312,Vardo,NO,70.3705,31.1107,39.78,86,100,25.12,overcast clouds
313,Mahebourg,MU,-20.4081,57.7,79.09,78,40,11.5,scattered clouds
314,La Asuncion,VE,11.0333,-63.8628,80.55,75,1,21.61,clear sky
315,Eureka,US,40.8021,-124.1637,54.36,60,27,5.99,scattered clouds
316,Mitsamiouli,KM,-11.3847,43.2844,82.36,76,38,5.1,scattered clouds
317,Bafq,IR,31.6128,55.4107,76.95,23,70,12.08,broken clouds
318,Gat,IL,31.61,34.7642,69.4,42,32,4.09,scattered clouds
319,Zhuhai,CN,22.2769,113.5678,71.31,83,40,14.97,scattered clouds
320,Bilibino,RU,68.0546,166.4372,12.45,94,79,3.06,broken clouds
321,Husavik,IS,66.0449,-17.3389,44.37,84,100,13.15,overcast clouds
322,Fortuna,US,40.5982,-124.1573,54.09,55,35,5.99,scattered clouds
323,Isangel,VU,-19.55,169.2667,80.35,79,9,4.25,clear sky
324,Atambua,ID,-9.1061,124.8925,72.95,89,97,3.0,overcast clouds
325,Maniitsoq,GL,65.4167,-52.9,24.78,61,27,7.23,scattered clouds
326,Shimoda,JP,34.6667,138.95,49.1,80,100,11.12,moderate rain
327,Vasai,IN,19.47,72.8,82.49,72,0,4.21,clear sky
328,Saint-Felicien,CA,48.6501,-72.4491,39.88,41,75,12.66,broken clouds
329,Vestmannaeyjar,IS,63.4427,-20.2734,46.98,94,99,18.43,light rain
330,Pasighat,IN,28.0667,95.3333,67.46,94,100,5.1,light rain
331,Pavilosta,LV,56.8879,21.1859,35.51,80,99,8.03,overcast clouds
332,Shingu,JP,33.7333,135.9833,53.58,60,100,5.82,overcast clouds
333,San Pedro,PH,14.35,121.0167,81.63,76,75,4.61,broken clouds
334,Great Bend,US,38.3645,-98.7648,54.84,30,0,21.85,clear sky
335,Dunmore Town,BS,25.5,-76.65,76.68,78,2,15.17,clear sky
336,Tiznit,MA,29.5833,-9.5,77.45,23,22,2.26,few clouds
337,Chernyanka,RU,50.9409,37.8069,49.73,90,100,0.6,light rain
338,Nioro,GM,13.35,-15.75,84.0,32,13,10.65,few clouds
339,Goreloye,RU,52.937,41.5043,48.16,96,100,1.99,overcast clouds
340,Kon Tum,VN,14.35,108.0,68.86,97,45,1.92,scattered clouds
341,Flinders,AU,-34.5833,150.8552,56.37,91,2,4.0,clear sky
342,Alugan,PH,12.2188,125.4808,79.16,80,93,7.65,overcast clouds
343,Lorengau,PG,-2.0226,147.2712,80.53,80,41,4.21,scattered clouds
344,Liverpool,GB,53.4106,-2.9779,63.14,78,20,8.05,few clouds
345,Rundu,NA,-17.9333,19.7667,68.83,78,100,7.4,overcast clouds
346,Mount Gambier,AU,-37.8333,140.7667,67.89,39,100,13.35,overcast clouds
