City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,Tab,HU,47.25,overcast clouds,46.7314,18.032,Gyöngy vendégház
137,Siirt,TR,53.01,clear sky,37.9326,41.9403,Barden Otel
148,Erenhot,CN,46.04,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
149,Groningen,NL,49.15,few clouds,53.25,6.75,Bed&Breakfast Lageland
150,Erzin,TR,59.47,clear sky,36.9559,36.2,Artemis Otel
170,Hami,CN,50.97,clear sky,42.8,93.45,Laoyutang Resort
177,Hasaki,JP,43.2,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
178,Tuatapere,NZ,41.7,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
182,Makhachkala,RU,42.78,clear sky,42.9764,47.5024,Argo
192,Rawson,AR,59.13,clear sky,-43.3002,-65.1023,Hosteria Sampedro
195,Botwood,CA,57.9,scattered clouds,49.1499,-55.3482,Exploits Hostel
197,Leiyang,CN,51.15,overcast clouds,26.4024,112.8591,Dongyang Hotel
199,Vulcan,RO,43.72,broken clouds,45.3833,23.2667,Paradisul verde
208,Kijang,KR,51.93,overcast clouds,35.2442,129.2139,Samyang Beach Villa
210,Prince Rupert,CA,46.49,clear sky,54.3161,-130.3201,Crest Hotel
215,New Norfolk,AU,57.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
218,Horadiz,AZ,51.69,broken clouds,39.4488,47.3353,Horadiz Olympic Center
226,Skibbereen,IE,52.11,light rain,51.55,-9.2667,The West Cork Hotel
232,Novyy Svit,UA,48.24,overcast clouds,47.8059,38.0211,Энергетик
236,Hokitika,NZ,51.53,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
243,Xinpu,CN,45.25,overcast clouds,34.5997,119.1594,Pattaya Leisure Hotel
244,Paola,IT,58.32,overcast clouds,39.3599,16.0396,Albergo Blumentag
266,Derzhavinsk,KZ,51.57,overcast clouds,51.1,66.3167,Ooo.khim Baza
277,Port Macquarie,AU,57.88,few clouds,-31.4333,152.9167,Rydges Port Macquarie
278,Korla,CN,50.18,clear sky,41.7597,86.1469,Gulisitan Hotel
